location_name,city,website,phone,postal_code,address,province,monday,tuesday,wednesday,thursday,friday,latitude,longitude,Accessible Entrances,Accessible Washrooms,Accessible Parking,Individual Service,Wait Accommodations
ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,WeCount,WeCount,WeCount,WeCount,WeCount
ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,joined.invent,joined.invent,joined.invent,joined.invent,joined.invent
ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,WeCount,WeCount,WeCount,WeCount,WeCount
ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,WeCount,WeCount,WeCount,WeCount,WeCount
ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,joined.invent,joined.invent,joined.invent,joined.invent,joined.invent
ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,joined.invent,joined.invent,joined.invent,joined.invent,joined.invent
ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,joined.invent,joined.invent,joined.invent,joined.invent,joined.invent
ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,joined.invent,joined.invent,joined.invent,joined.invent,joined.invent
ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,joined.invent,joined.invent,joined.invent,joined.invent,joined.invent
ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,joined.invent,joined.invent,joined.invent,joined.invent,joined.invent
ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,WeCount,WeCount,WeCount,WeCount,WeCount
ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,joined.invent,joined.invent,joined.invent,joined.invent,joined.invent
ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,joined.invent,joined.invent,joined.invent,joined.invent,joined.invent
ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,joined.invent,joined.invent,joined.invent,joined.invent,joined.invent
ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,joined.invent,joined.invent,joined.invent,joined.invent,joined.invent
ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,joined.invent,joined.invent,joined.invent,joined.invent,joined.invent
ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,joined.invent,joined.invent,joined.invent,joined.invent,joined.invent
ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,joined.invent,joined.invent,joined.invent,joined.invent,joined.invent
ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,ODC,joined.invent,joined.invent,joined.invent,joined.invent,joined.invent
