location_name,city,website,phone,postal_code,address,province,monday,tuesday,wednesday,thursday,friday,latitude,longitude,Accessible Entrances,Accessible Washrooms,Accessible Parking,Individual Service,Wait Accommodations
North York General Hospital - Branson,North York,https://nygh.on.ca/patients-and-visitors/covid-19-updates/assessment-centres,416-635-2509,M2R 1N5,555 Finch Avenue West,ON,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,43.772477,-79.448125,Yes,Partial: there is a wheelchair-accessible washroom in the asymptomatic testing area,Yes,"No ASL interpretation, yes assassistance navigating the centre",Yes
North York General Hospital - Emergency Department,Toronto,,,M2K 1E1,"4001 Leslie Street, Ambulance Bay",ON,,,,,,43.769147,-79.362744,No,No,No,No,Yes
Sunnybrook Health Sciences Centre,Toronto,https://sunnybrook.ca/,416-480-4559,M4N 1J8,80 Armistice Drive,ON,09:00-19:30,09:00-19:30,09:00-19:30,09:00-19:30,09:00-19:30,43.7248677791177,-79.3736969375319,Yes,Yes,Yes,Yes,Yes
Toronto Western Hospital,Toronto,https://twfht.ca/displayPage.php?page=COVID19Assessment,,M5T 2S7,347 Bathurst Street,ON,07:30-15:30,07:30-15:30,07:30-15:30,07:30-15:30,07:30-15:30,43.652594,-79.405856,Yes,Yes,"Not on site, but we are right beside TWH, where there is accessible parking.  There is also a drop off circle driveway within 50 feet of the entrance.",No,"the TWH CAC is currently operated on a first come, first serve basis. There is often a line, which can be up to one hour. We do not offer accommodated access outside of the queue. If someone is unable to wait in line, they are to speak to the security guard, who will arrange to hold the next place in line, and the person can wait at the benches or elsewhere."
Oakville Trafalgar Memorial Hospital,Oakville,https://www.haltonhealthcare.on.ca/,905-203-7963,L6M 0L8,3001 Hospital Gate,ON,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,43.450869,-79.763927,Yes,Yes,Yes,No,Yes
Georgetown Hospital,Georgetown,https://www.haltonhealthcare.on.ca/,905-203-7963,L7G 2B8,1 Princess Anne Drive,ON,,,08:00-16:00,,,43.644985,-79.933321,No,Yes,Yes,Yes,Yes
MacKenzie Health,Richmond Hill,https://www.mackenziehealth.ca/en/index.aspx,905-883-1212 ext. 2004,L4C 4Z3,10 Trench Street,ON,10:00-21:30,10:00-21:30,10:00-21:30,10:00-21:30,10:00-21:30,43.870017,-79.450278,No,No,No,No,Yes
Southlake Regional Health Centre,Newmarket,https://southlake.ca/,,L3Y 3S9,22 Prospect Street,ON,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,44.0599895613583,-79.454565817416,No,No,Yes,Yes,Yes
Lakeridge Health - Oshawa,Oshawa,https://www.lakeridgehealth.on.ca/en/patientsandvisitors/novel-coronavirus-2019-ncov.asp,,L1G 2B9,1 Hospital Court,ON,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,,43.905529,-78.869215,No,No,No,Yes,No
Headwaters Health Care Centre,Orangeville,https://www.headwatershealth.ca/,833-442-2001,L9W 4X9,100 Rolling Hills Drive,ON,10:00-18:00,12:00-20:00,10:00-18:00,12:00-20:00,10:00-18:00,43.920776,-80.072523,Yes,Yes,No,Yes,No
Markham Stouffville Hospital,Markham,https://www.msh.on.ca/,,L3P 7P3,381 Church Street,ON,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,43.884138,-79.231961,No,Accessible portable washrooms,Yes,Yes,Yes
Bracebridge Rotary Centre,Bracebridge,https://www.mahc.ca/en/services/covid19.aspx#,888-383-7009,P1L 1E2,131 Wellington Street,ON,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,45.037419,-79.318023,No,No,No,Yes,Yes
Huntsville District Memorial Hospital,Huntsville,https://www.mahc.ca/en/services/covid19.aspx#,888-383-7009,P1H 1H7,100 Frank Miller Drive,ON,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,45.339214,-79.20568,No,Yes,No,Yes,Yes
Orillia Soldiers' Memorial Hospital,Orillia,https://www.osmh.on.ca/,888-589-4109,L3V 2Z3,170 Colborne Street West,ON,11:00-18:30,11:00-18:30,11:00-18:30,11:00-18:30,11:00-18:30,44.6048596,-79.4277891,Yes,Yes,Yes,Yes,Yes
Barrie Community Health Centre,Barrie,https://covid19.barriehealth.info/,,L4N 6M2,490 Huronia Road,ON,08:30-16:30,08:30-16:30,08:30-16:30,08:30-16:30,08:30-16:30,44.34716,-79.665693,Yes,Yes,No,Yes,No
Stevenson Memorial Hospital,Alliston,http://www.stevensonhospital.ca/,249-501-0383,L9R 1W7,200 Fletcher Crescent,ON,09:00-17:00,,09:00-17:00,,09:00-17:00,44.155578,-79.875078,Yes,No,Yes,Yes,Yes
Almonte General Hospital,Almonte,https://healthunit.org/health-information/covid-19/assessment-testing-results/,613-325-1208,K0A 1A0,75 Spring Street,ON,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,45.228961,-76.189452,No,No,Yes,No,Yes
Brockville General Hospital,Brockville,https://healthunit.org/health-information/covid-19/assessment-testing-results/,613-704-1441,K6V 7J5,100 Magedoma Boulevard,ON,10:00-12:30&13:00-17:30,10:00-12:30&13:00-17:30,10:00-12:30&13:00-17:30,10:00-12:30&13:00-17:30,10:00-12:30&13:00-17:30,44.610024,-75.699937,Yes,No,Yes,Yes,Yes
Cornwall COVID-19 Assessment Centre,Cornwall,https://eohu.ca/en/covid/covid-19-testing-assessment-centres,343-475-0160,K6H 4M3,850 McConnell Avenue,ON,10:00-18:00,08:00-16:00,09:00-13:00,14:00-18:00,09:00-13:00,45.030101,-74.717964,Yes,No,No,No,Yes
Akausivik Inuit Family Health Team - COVID-19 Assessment Centre,Ottawa,https://www.ottawapublichealth.ca/en/public-health-topics/resources/AIFHT-COVID-Testing-Info--Video---English.pdf,613-740-0999,K1L 0A4,"24 Selkirk Street, Suite 300",ON,10:30-18:00,10:30-18:00,10:30-18:00,10:30-18:00,10:30-18:00,45.431716,-75.667688,No,Yes,No,No,Yes
Casselman COVID-19 Assessment Centre,Casselman,https://epicapps.toh.ca/mychart/openscheduling,613-632-1111 ext. 53800,K0A 1M0,710 Principale Street,ON,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,45.3125546595604,-75.0861035742728,Yes,No,Yes,Yes,Yes
Lennox and Addington County General Hospital,Napanee,http://web.lacgh.napanee.on.ca/,613-354-8254,K7R 2Z4,12 Richmond Park Drive,ON,08:30-15:30,08:30-15:30,08:30-15:30,08:30-15:30,08:30-15:30,44.2415493542924,-76.9673079667205,Yes,Yes,Yes,No,Yes
Akwesasne COVID-19 Assessment Centre,Akwesasne,http://www.akwesasne.ca/covid-19-novel-coronavirus-information/,613-575-5005 ext. 3704,H0M 1A0,31 Hilltop Drive,QC,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,44.999832,-74.654378,No,No,Yes,No,Yes
North Hastings COVID-19 Assessment Center,Bancroft,https://www.qhc.on.ca/covid-19.php,613-332-2825 ext. 6224,K0L 1C0,1 Manor Lane,ON,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,45.055092,-77.864208,Yes,Yes,Yes,No,Yes
Perth and Smiths Falls District Hospital - Smiths Falls Site,Smiths Falls,https://healthunit.org/health-information/covid-19/assessment-testing-results/,613-283-2330 ext. 1401,K7A 2H9,60 Cornelia Street West,ON,09:00-14:00,09:00-14:00,09:00-14:00,09:00-14:00,09:00-14:00,44.907454,-76.027508,No,Yes,No,Yes,No
Quinte Healthcare - Quinte Secondary School,Belleville,https://www.qhc.on.ca/covid-19.php,613-961-5544,K8P 2G3,45 College Street West,ON,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,44.17531,-77.393179,No,Yes,Yes,Yes,Yes
Trent Hills COVID19 Assessment Centre,Campbellford,https://www.thfht.com/wp-content/uploads/2020/05/PRESS-RELEASE-May-25-2020-AC-Final.pdf,705-395-1801,K0L 1L0,146 Oliver Road,ON,,08:30-16:30,,08:30-16:30,,44.31271,-77.790044,No,No,No,Yes,No
Northumberland Hills Hospital,Cobourg,https://nhh.ca/covid-19,905-377-7783,K9A 5W6,1000 Depalma Drive,ON,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,43.976426,-78.202208,No,Yes,No,No,Yes
Hearst COVID-19 Assessment Centre,Hearst,http://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,705-372-2913,P0L 1N0,713 Front Street,ON,08:30-11:30,08:30-11:30,08:30-11:30,08:30-11:30,08:30-11:30,49.688956,-83.66072,No,Yes,No,Yes,Yes
Chapleau Health Services,Chapleau,https://www.sschs.ca/general/home.html,705-864-2568,P0M 1K0,2 Broomhead Road,ON,08:30-16:30,08:30-16:30,08:30-16:30,08:30-16:30,08:30-16:30,47.841198,-83.414963,Yes,Yes,No,Yes,Yes
Primacy Medical Centre,Sudbury,https://www.hsnsudbury.ca/portalen/Patients-and-Visitors/COVID-19/COVID-19-Assessment-Centre,705-671-7373,P3A 5H7,1485 Lasalle Boulevard,ON,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,46.521729,-80.939584,No,Yes,No,No,No
Dingwall Medical Clinic Building,Dryden,http://www.drhc.on.ca/dryden-regional-health-centre-opens/,866-468-2240,P8N 2Z6,40 Goodall Street,ON,08:00-12:00&12:30-16:00,08:00-12:00&12:30-16:00,08:00-12:00&12:30-16:00,08:00-12:00&12:30-16:00,08:00-12:00&12:30-16:00,49.769556,-92.840763,Yes,Yes,Yes,No,No
Elliot Lake Family Health Team,Elliot Lake,http://www.elfht.com/,705-461-8882,P5A 1Y9,31 Nova Scotia Walk,ON,08:30-16:00,08:30-16:00,08:30-16:00,08:30-16:00,08:30-16:00,46.38584,-82.649431,No,Yes,No,No,Yes
Espanola & Area COVID Mobile Assessment Centre,Espanola,http://www.espanolaregionalhospital.ca/covid-19,705-869-1420 ext. 4500,P5E 1R4,825 McKinnon Drive,ON,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,46.248923,-81.780886,No,Yes,Yes,No,No
Hornepayne Community Hospital,Hornepayne,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,807-868-2442 ext. 5230,P0M 1Z0,278 Front Street,ON,09:30-11:30&13:00-14:00,09:30-11:30&13:00-14:00,09:30-11:30&13:00-14:00,09:30-11:30&13:00-14:00,09:30-11:30&13:00-14:00,49.212129,-84.774749,Yes,Yes,Yes,Yes,No
Lake of the Woods District Hospital,Kenora,http://www.lwdh.on.ca/,807-468-9861 ext. 2483,P9N 3W7,21 Sylvan Street,ON,08:30-15:30,08:30-15:30,08:30-15:30,08:30-15:30,08:30-15:30,49.768091,-94.499429,Yes,No,Yes,No,No
Community Health Services Building,Fort Frances,https://www.riversidehealthcare.ca/,807-274-3261 ext. 4913,P9A 2B7,206 Victoria Avenue,ON,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,48.607046,-93.392275,No,No,No,No,No
Mattawa Hospital,Mattawa,https://www.mattawahealth.ca/News/mattawa-assessment-centre,705-744-5511 ext. 0,P0H 1V0,217 Turcotte Park Road,ON,08:00-12:00,,10:00-12:00,10:00-12:00,,46.311018,-78.713456,Yes,No,Yes,No,No
Anson General Hospital site,Iroquois Falls,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,888-962-8718,P0K 1E0,58 Anson Drive,ON,,09:00-13:00,,09:00-13:00,closed,48.769108,-80.685429,No,Yes,No,No,Yes
The Lady Minto Hospital/Boy Scout Hall,Cochrane,https://www.micsgroup.com/about-mics/lady-minto-hospital/,888-962-8718,P0L 1C0,226-5th Street,ON,09:00-13:00,,09:00-13:00,,closed,49.0655164548736,-81.0219071485793,Yes,Yes,No,No,Yes
Nipigon District Memorial Hospital,Nipigon,https://www.ndfht.ca,807-887-5645,P0T 2J0,125 Hogan Road,ON,07:00-14:30,07:00-14:30,07:00-14:30,07:00-14:30,07:00-14:30,49.015611,-88.275905,No,Yes,Yes,Yes,No
North Bay Regional Health Centre,North Bay,http://www.nbrhc.on.ca/,705-474-8600 ext. 4110,P1B 5A4,50 College Drive,ON,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,46.334984,-79.49471,Yes,No,No,Yes,No
